Date,Open,High,Low,Close,Adj Close,Volume
2009-03-27,2.612500,2.677500,2.575000,2.615000,2.399923,73189200
2009-03-30,2.515000,2.547500,2.412500,2.447500,2.246198,78005200
2009-03-31,2.485000,2.525000,2.447500,2.465000,2.262260,80527200
2009-04-01,2.435000,2.550000,2.342500,2.527500,2.319619,88792000
2009-04-02,2.622500,2.692500,2.585000,2.645000,2.427455,100286000
2009-04-03,2.647500,2.837500,2.602500,2.830000,2.597239,100320800
2009-04-06,2.782500,2.862500,2.745000,2.837500,2.604122,88728800
2009-04-07,2.782500,2.812500,2.722500,2.740000,2.514642,60780400
2009-04-08,2.770000,2.860000,2.747500,2.852500,2.617889,73165200
2009-04-09,2.925000,3.020000,2.902500,3.010000,2.762435,90441200
2009-04-13,2.972500,2.975000,2.847500,2.912500,2.672953,76762800
2009-04-14,2.872500,3.000000,2.860000,2.930000,2.689013,71196000
2009-04-15,2.827500,2.860000,2.727500,2.847500,2.613300,104536800
2009-04-16,2.900000,2.955000,2.790000,2.920000,2.679836,103877200
2009-04-17,2.920000,2.967500,2.850000,2.940000,2.698191,69576400
2009-04-20,2.827500,2.852500,2.747500,2.762500,2.535291,59066000
2009-04-21,2.725000,2.870000,2.685000,2.755000,2.528409,93218400
2009-04-22,2.730000,2.952500,2.685000,2.837500,2.604122,91640400
2009-04-23,2.865000,2.890000,2.705000,2.792500,2.562823,75395200
2009-04-24,2.820000,2.877500,2.752500,2.857500,2.622478,75950800
2009-04-27,2.820000,2.900000,2.737500,2.755000,2.528409,78702400
2009-04-28,2.720000,2.820000,2.695000,2.762500,2.535291,63439200
2009-04-29,2.775000,2.787500,2.687500,2.720000,2.496286,85966800
2009-04-30,2.772500,2.950000,2.750000,2.870000,2.633948,111027600
2009-05-01,2.862500,2.985000,2.860000,2.917500,2.677542,84054800
2009-05-04,2.967500,3.097500,2.927500,3.075000,2.822088,92770400
2009-05-05,3.007500,3.027500,2.887500,2.950000,2.707369,83707600
